ID,Name,Pronoun,Birthday,Weight,ZipCode,SqFt,Pets,Water,Shoes,Commute,NumKids,Exercise,Beverage
100095,Kimberly Martino - vice president,they,1973-12-25,138.39,00849,3059,"cat,lizard",32.21,3,25.46,2,None,Tea
100096,Kim Hillman - vice president,she,1993-09-02,155.09,08161,2437,,100.56,10,73.53,1,None,Cider
100097,Scott Williams - vice president,he,1946-05-13,226.91,00221,2836,dog,65.71,1,18.05,5,Low,Cocoa
100098,Anthony Lanser - vice president,he,1993-05-06,217.8,08161,2605,"hamster,bird,bird,cat,dog,dog",174.34,9,35.91,4,High,Coffee
100099,Jimmy Bartus - vice president,he,1975-01-21,194.07,06861,2180,bird,97.95,5,26.43,3,Low,Cocoa
100100,Rebecca Lyons - receptionist,she,1945-09-22,137.89,00445,2108,"dog,dog,bird,hamster,hamster,dog",45.02,12,36.6,3,High,Tea
100101,Marianne Taylor - software engineer,she,1986-03-28,145.24,00221,2750,"dog,dog,fish",103.63,4,76.87,2,High,Cocoa
100102,Mary Harrell - assistant manager,she,2003-05-12,198.17,03977,1959,,170.65,7,,None,High,Tea
100103,Donald Porter - engineer,he,1939-08-27,167.68,00221,1515,"fish,cat",127.02,9,38.5,1,Medium,Cider
100104,Matthew Potter - vice president,they,1987-12-27,377.84000000000003,00221,2487,"fish,bird,dog,fish,cat,bird",28.68,15,13.56,1,Low,Coffee
100105,Carlos Wilson - physician,he,1956-06-25,206.23,00221,2202,"cat,dog,cat,dog,dog,fish",26.36,6,21.94,1,None,Coffee
100106,Travis Harvilla - software engineer,he,1936-06-07,191.13,08161,1378,dog,97.45,8,38.37,1,Medium,Cider
100107,Flora Leal - trucker,they,2001-03-13,139.44,00221,1764,"dog,dog,cat,dog,dog,bird",59.69,10,34.7,3,High,Coffee
100108,Elaine Mello - engineer,she,1960-05-01,181.61,00445,1696,hamster,31.75,2,55.22,4,Low,Cider
100109,Edward Owen - software engineer,he,1947-10-14,173.07,00221,2344,,107.31,1,35.76,1,High,Cider
100110,June Mosley - assistant manager,she,1950-05-18,159.04,00221,1713,bird,52.55,7,26.69,1,Low,Cider
100111,Louis Lewis - software engineer,they,1990-05-15,161.82,00445,1814,"dog,dog",48.29,10,6.97,1,High,Coffee
100112,Bobby Konrad - vice president,he,1991-04-02,141.33,06861,2007,"cat,dog",73.35,2,81.95,1,None,Cider
100113,Leslie Smith - physician,he,1976-01-08,376.51,04532,1751,,127.51,4,21.05,2,Medium,Cocoa
100114,Mark Parks - physician,he,1978-10-24,348.68,00221,2619,"dog,cat,dog",122.79,12,1.11,3,None,Coffee
100115,Paula Swain - software engineer,she,1955-04-19,181.32,03977,1424,,92.94,9,20.39,2,None,Cider
100116,Brenda Hudnall - vice president,she,1949-11-25,182.48,00221,1876,"dog,dog,dog,cat,dog,hamster",23.32,14,29.52,3,Medium,Tea
100117,Goldie Riddle - trucker,she,1999-09-20,150.53,06393,2045,dog,75.96,7,2.81,1,None,Coffee
100118,Billy Leatham - vice president,he,1942-02-05,161.33,06861,1923,,30.88,7,16.21,2,Medium,Cider
100119,Vivian Engle - assistant manager,she,1981-08-28,152.62,08161,1991,"hamster,dog,dog,dog,hamster,lizard",87.01,4,2.73,1,High,Coffee
100120,Sarah Buchmeier - software engineer,she,2005-08-22,172.29,08161,1483,cat,131.95,1,48.17,1,Low,Cocoa
100121,Jessie Drake - vice president,she,1939-10-02,155.98,06861,1925,,89.76,5,30.26,1,None,Cider
100122,Adrianne Faris - vice president,she,1984-09-27,167.24,06861,2582,"fish,dog,dog,fish,dog,dog",129.88,10,40.85,5,None,Coffee
100123,Katherine Sauceda - engineer,she,1974-12-12,135.83,04532,1712,bird,56.22,0,58.22,4,Low,Cider
100124,Katherine Gessford - physician,she,1928-11-02,227.3,08161,2116,"dog,fish",?,15,40.0,2,Medium,Cider
100125,Mayra Lowry - trucker,she,1975-01-03,186.2,00221,3092,"dog,cat,fish,dog",142.0,11,4.28,3,Low,Coffee
100126,Teresa Millerd - sales associate,she,1952-02-25,136.04,08161,1733,"dog,dog",96.84,5,22.04,2,None,Cocoa
100127,Kimberly Dwyer - software engineer,she,1985-08-08,150.84,00445,2231,"hamster,dog,dog,dog,dog,dog",106.84,3,49.87,3,Low,Tea
100128,Jane Jeffries - assistant manager,she,1986-03-24,219.47,06861,1913,"bird,bird,cat",67.96,9,32.05,2,High,Tea
100129,William Vogel - assistant manager,he,1963-04-06,220.51,00221,1851,"cat,hamster,dog,fish",80.85,12,22.71,3,None,Tea
100130,Daniela Wright - sales associate,she,2003-12-06,161.68,03977,1830,"dog,dog,fish,cat,dog,fish",142.47,12,30.02,3,None,Tea
100131,Kyle Blakney - vice president,he,1964-12-14,178.19,06861,2446,"dog,dog",92.38,15,19.16,3,None,Tea
100132,Tara Patrick - vice president,she,1989-11-28,187.62,00445,1989,"dog,dog",49.4,4,,2,Low,Cocoa
100133,Raymundo Lopez - vice president,he,1926-12-12,144.14,00445,2006,"dog,dog,dog,dog,cat,dog",44.0,10,29.5,2,None,Tea
100134,Ronald Dickinson - sales associate,he,1939-10-27,173.81,00445,2018,"cat,fish,dog,dog,cat,lizard",45.66,12,27.2,2,Low,Tea
100135,Donna Ruby - sales associate,she,1946-01-16,161.0,00445,1831,,77.68,4,13.58,2,Medium,Cider
100136,Carolyn Hicks - vice president,she,1990-02-10,148.88,03977,1880,"cat,lizard,fish",92.42,6,14.21,None,Low,Coffee
100137,Micheal Babbitt - assistant manager,he,1939-04-06,175.37,00849,3018,dog,118.49,15,34.66,5,None,Cider
100138,Tanya Matson - vice president,she,1998-12-15,173.35,08161,2554,,31.22,15,32.85,2,Medium,Cocoa
100139,Patricia Quinones - physician,she,1966-11-18,155.99,06861,2641,,36.15,12,65.26,4,Medium,Cider
100140,Bobette Callicutt - sales associate,she,1961-10-22,154.74,03977,1480,"lizard,dog,cat",132.01,3,9.26,2,None,Tea
100141,Judith Delp - teacher,she,1942-06-06,142.84,08161,-1000,fish,15.33,3,8.09,None,Medium,Cocoa
100142,Debra Johnson - sales associate,they,1994-06-20,130.76,00445,2236,"bird,bird,cat,cat,bird,hamster",132.33,2,32.26,3,None,Coffee
100143,Daniel Elliott - scientist,they,1955-10-21,156.42,00221,1619,cat,36.21,8,48.59,3,None,Cider
100144,Deanna Mcjunkin - assistant manager,she,1951-06-14,130.14,04532,1599,"cat,lizard,dog",27.79,4,29.92,2,Low,Cocoa
100145,Kathy Falk - assistant manager,she,1946-03-28,188.99,03977,1577,"dog,dog,bird,cat",67.3,4,46.72,3,None,Cocoa
100146,Hazel Tobin - physician,they,1940-05-25,146.81,06861,2206,"bird,cat",34.95,9,47.58,2,None,Cider
100147,Deanna Lovelace - assistant manager,they,2002-01-16,154.95,03977,1905,"cat,dog,dog,lizard,dog",112.19,4,32.07,3,Low,Tea
100148,Lorena Panza - sales associate,she,1999-01-12,156.68,08161,2591,"hamster,bird,dog,fish,dog,hamster",62.88,1,60.29,3,None,Coffee
100149,Ethel Fullmer - assistant manager,she,1940-02-06,157.09,04532,1777,,103.98,3,0.55,None,None,Coffee
100150,Frank Woodham - physician,he,1978-03-16,196.14,03977,1724,"hamster,fish",2.3,4,12.79,5,Low,Tea
100151,Nancy Carnevale - physician,she,1969-04-24,151.39,00849,2263,"dog,dog,fish,cat,bird,dog",46.89,9,9.66,None,None,Coffee
100152,Marcus Reynolds - sales associate,they,1946-04-07,132.38,08161,1764,,59.77,9,48.79,4,None,Cider
100153,Debra Meese - sales associate,they,1974-01-24,169.17,00221,1934,bird,42.97,7,6.11,3,Medium,Tea
100154,Gaynell Scott - physician,they,2001-12-04,145.71,00221,1452,"bird,hamster",110.9,5,29.93,2,Low,Tea
100155,Delores Brown - vice president,they,1985-07-28,195.18,03977,1700,"bird,cat,cat,hamster,dog,bird",123.23,4,38.44,1,Medium,Tea
100156,James Zevallos - vice president,he,1998-06-06,186.2,06861,2350,"fish,dog,fish,dog,dog,cat",158.24,9,20.37,2,None,Coffee
100157,Katherine Crouch - assistant manager,she,1973-09-10,137.31,00221,2040,"dog,cat",105.37,2,3.48,2,None,Coffee
100158,James Zavala - physician,he,1940-08-19,373.19,07770,2476,,70.62,7,21.52,5,None,Cider
100159,Amy Scott - sales associate,she,1998-01-21,181.2,00445,2182,"dog,fish,fish,cat,cat",169.03,8,57.28,3,None,Tea
100160,Julia Tarpley - trucker,she,1986-03-22,178.69,06393,1986,bird,129.59,13,5.24,1,None,Coffee
100161,Anya Raderstorf - vice president,she,1926-12-25,188.52,00221,1907,hamster,13.86,4,24.47,3,None,Cider
100162,Beth White - assistant manager,she,1984-10-11,182.85,00849,2388,,126.33,10,37.11,1,Medium,Cider
100163,Rocco Rosso - sales associate,he,1956-05-02,158.09,00221,2416,"lizard,hamster,cat,bird,bird",92.97,8,24.85,3,None,Tea
100164,Elia Diaz - physician,she,1950-02-02,211.56,03977,1485,"dog,fish,dog,dog",71.56,8,19.81,2,None,Tea
100165,Barney Izzo - sales associate,he,1997-01-06,153.68,00221,2165,dog,7.77,9,30.68,3,None,Cocoa
100166,Charles Wason - teacher,he,1976-09-26,185.31,03977,1569,,95.26,8,51.29,2,High,Cider
100167,Jessica Handy - physician,she,1985-09-11,218.78,00221,2107,"cat,hamster,dog,bird,bird,fish",70.72,5,10.5,4,High,Coffee
100168,James Porter - vice president,he,1953-04-17,168.67,03977,1674,cat,76.65,4,54.31,3,Medium,Cider
100169,Jamie Seitz - software engineer,he,2004-01-28,182.16,08161,2004,,63.84,4,42.04,3,Low,Cocoa
100170,Lloyd Kidd - physician,he,1936-08-22,373.27,08161,1773,,73.44,9,37.8,1,Medium,Cider
100171,Wilfredo Moore - sales associate,he,1946-09-20,213.43,00221,2245,"bird,fish,hamster",70.12,1,28.21,5,None,Cocoa
100172,Howard Hamilton - assistant manager,he,2003-11-09,372.77,00445,2252,"hamster,dog,hamster,lizard,fish,bird",12.5,8,34.86,2,Medium,Coffee
100173,Karen Juergens - assistant manager,she,1941-01-04,188.8,00221,2028,,151.74,13,39.48,3,Low,Cider
100174,Suzanne Gore - sales associate,she,1959-11-01,143.32,07770,2129,,122.22,12,17.67,None,Low,Cocoa
100175,James Staten - engineer,he,1971-09-07,144.82,08161,1840,"cat,dog",83.61,6,12.98,1,Medium,Tea
100176,Clayton Rahmani - vice president,he,1925-11-03,168.79,03977,1117,,67.8,7,29.13,3,Medium,Coffee
100177,Albert Munson - trucker,he,1955-11-04,206.72,07770,2991,,30.87,3,33.83,3,Low,Cider
100178,Michele Womack - vice president,she,1967-01-25,153.29,06861,1814,,156.78,4,17.21,2,Medium,Cocoa
100179,John Bellocchio - trucker,he,1966-02-20,379.85,03977,1707,"cat,cat,bird,dog,dog,cat",90.09,6,7.4,None,None,Coffee
100180,Linda Rothenbach - physician,she,1950-03-02,142.88,00221,2432,,116.24,15,43.98,1,None,Cider
100181,Nicole Gordon - server,she,1961-12-28,169.27,06861,1923,,166.01,2,42.97,3,None,Cider
100182,Dennis Hunt - software engineer,he,1972-11-07,222.1,00445,2306,,55.89,1,18.78,2,Low,Cocoa
100183,Nathan Thompson - trucker,they,1958-03-01,141.77,03977,1894,"cat,bird",26.73,12,51.4,1,High,Cider
100184,Pearl Trowery - software engineer,she,1958-04-28,174.16,03977,2077,"hamster,fish",91.39,11,53.28,2,Medium,Cider
100185,Regina Ansley - assistant manager,she,1986-02-13,376.01,06861,2457,,85.75,11,35.56,2,High,Cocoa
100186,Mavis Anderson - vice president,she,1976-02-19,171.2,04532,1641,"bird,cat,dog,fish,fish,lizard",89.15,0,0.42,2,None,Coffee
100187,Bruce Clontz - physician,he,1957-08-08,206.55,08161,2477,"fish,dog,dog,hamster,lizard,dog",82.42,12,41.45,3,Medium,Tea
100188,Esther Martinez - physician,they,1992-02-18,159.37,00221,2322,,47.61,4,38.74,4,None,Cocoa
100189,Suzanne Lee - vice president,she,1956-04-14,152.09,00221,2218,,88.01,6,0.48,3,High,Tea
100190,Ashley Wilson - engineer,she,2005-01-15,378.41999999999996,06861,2094,,92.41,5,14.67,1,High,Tea
100191,Nancy Wilson - physician,she,1936-02-25,191.42,04532,1622,"bird,fish,dog,cat,fish,lizard",48.86,13,10.57,2,Low,Coffee
100192,Michael Taylor - scientist,they,1952-05-09,146.67,00221,1833,"dog,bird",46.52,13,54.71,4,Low,Cider
100193,Ethel Sexton - teacher,she,1953-02-21,161.38,03977,1866,"lizard,cat,fish,dog,cat,fish",105.75,5,4.5,1,None,Coffee
100194,Harry Burdett - physician,he,1968-09-16,195.1,03977,1726,dog,81.2,10,21.73,2,None,Cider
100195,Rachelle Pokswinski - trucker,she,1986-12-08,172.62,08161,1844,"bird,dog,dog,dog,fish,fish",58.38,9,7.68,None,High,Coffee
100196,Michael Walter - vice president,he,1994-06-06,209.33,00221,1939,fish,168.64,10,6.57,3,None,Coffee
100197,Donna Wilson - assistant manager,she,1937-12-28,143.02,08161,2099,"dog,hamster,bird",136.68,11,15.56,2,Medium,Tea
100198,Henry Drake - sales associate,he,1975-04-19,145.47,07770,1471,"dog,bird,cat",128.37,12,33.83,4,None,Cocoa
100199,Allen Hammond - physician,they,1992-01-12,131.29,00221,2211,,58.72,12,40.18,2,Medium,Cocoa
100200,Lillian Doyle - sales associate,they,1931-02-01,133.43,03977,1879,"dog,cat,dog,hamster,dog",55.61,0,41.46,2,Medium,Tea
100201,Anthony Adams - trucker,he,1975-12-27,195.72,03977,1971,,112.48,8,34.71,2,None,Cider
100202,Willie Rodriguez - vice president,he,1926-02-03,213.64,04532,1581,"dog,lizard,cat,fish,cat",50.5,8,46.7,2,Medium,Cocoa
100203,Betty Rohr - assistant manager,she,1974-10-12,203.56,07770,2506,"dog,fish,bird,fish,fish,lizard",53.96,6,14.56,1,Medium,Coffee
100204,Charles Maxwell - physician,he,1930-05-14,163.56,03977,2354,cat,-13.13,0,14.75,1,None,Cocoa
100205,Carol Buckley - teacher,she,1984-09-24,150.64,00221,1545,"bird,dog,fish,bird,cat",46.62,1,33.03,3,None,Tea
100206,Paul Williams - teacher,they,2004-10-23,179.41,03977,2277,"bird,bird,hamster,cat",39.22,10,29.71,3,High,Coffee
100207,Tina Miller - engineer,she,1946-06-09,153.98,03977,1698,,58.59,7,19.07,2,None,Cider
100208,Miranda Clark - physician,she,1996-11-26,181.59,08161,2062,,41.66,7,8.74,None,None,Tea
100209,Jared Richmon - assistant manager,he,1999-10-12,210.48,06861,2206,"bird,dog,dog,bird,dog,cat",46.68,9,60.98,2,Medium,Tea
100210,Oliver Pillar - physician,he,1989-06-19,158.36,03977,1534,"dog,fish",127.77,2,47.04,1,Low,Cocoa
100211,Ronni David - trucker,she,1942-12-13,167.16,06393,2076,"cat,dog",77.31,6,43.41,None,None,Cider
100212,Victor Conard - physician,he,1929-04-07,181.76,03977,1634,bird,95.27,8,55.84,None,Low,Cider
100213,Rose Singh - vice president,she,1962-10-23,200.01,00445,1962,"dog,dog,lizard,cat,dog",78.07,9,6.21,None,Low,Coffee
100214,Hugh Rankin - software engineer,he,1955-06-13,171.75,00221,2127,cat,96.61,0,9.23,3,Medium,Cocoa
100215,Francisco Brown - assistant manager,he,1928-02-17,174.07,03977,1819,cat,43.07,10,39.76,1,High,Cider
100216,Jenna Carnes - assistant manager,she,1949-07-21,139.2,00221,1361,"bird,dog",41.95,6,38.93,2,Medium,Cider
100217,Gregory Meil - vice president,they,1987-02-01,143.93,07770,1590,,119.26,12,25.74,5,High,Cider
100218,Barbara Vitiello - vice president,she,1983-04-01,164.48,00221,1927,"bird,hamster,dog",142.04,9,35.52,1,None,Tea
100219,Anna Sledge - physician,she,1999-08-04,168.77,06861,2024,"cat,bird,dog",118.59,6,41.41,5,Low,Tea
100220,Kaye Mcswain - vice president,she,1949-08-24,146.91,06393,2151,,-14.13,6,13.82,3,High,Cocoa
100221,Michael Aguilar - vice president,he,1955-10-27,139.36,00221,1933,"hamster,hamster,dog",72.77,15,13.04,3,High,Tea
100222,Marcia Gonzales - assistant manager,she,1936-11-24,158.07,03977,1882,dog,101.96,7,27.04,3,Low,Cider
100223,Nicole Peters - physician,she,1978-09-07,195.38,06861,2040,"dog,fish,fish,fish,hamster,bird",101.76,4,18.68,3,None,Coffee
100224,Richard Wofford - vice president,he,1994-06-07,153.53,03977,1659,,99.99,5,38.5,3,None,Cider
